,sentiment,tweet,candidate
45,0.0,"By campaigning with Obama, Mexico Joe Donnelly is proving his allegiance to the angry liberal mob.



Donnelly voted no on Kavanaugh, yes on the Iran deal, &amp; was even a superdelegate for Hillary Clinton.



He sent Hoosier jobs to Mexico. Now it’s time to send him packing! #INSen",Joe Donnelly
46,1.0,"@BarackObama is a Joe fan. @JoeBiden, and Joe Donnelly @JoeforIndiana. #VoteJoe, he’s what #Hoosiers need. #WaveCast #WaveCastIN #FlipTheSenate 💥 #Indiana https://t.co/7KZSNHGPKh",Joe Donnelly
47,1.0,"Joe Donnelly, D-candidate for Senate in Indiana said today he helped cast the vote to ""Save Healthcare.""



""And Mitch McConnell has told us he's going after Social Security and Medicare.""



And he even did it with a Straight Face.



Get rid of this LIAR Indiana. 

Vote Red Nov 6th.",Joe Donnelly
48,1.0,Joe Donnelly Running Stealth Facebook Ads Boosting Libertarian In Senate Race https://t.co/k1ft69KS1i via @weaselzippers,Joe Donnelly
49,0.0,Rumor has it that Senator Joe Donnelly of Indiana is paying for Facebook ads for his so-called opponent on the libertarian ticket. Donnelly is trying to steal the election? Isn’t that what Russia did!?,Joe Donnelly
50,1.0,Delivered an important message today while campaigning for @MorriseyWV. Joe Manchin voted for Justice Kavanaugh after we had the votes. West Virginia can always count on Joe to be there when you don’t need him. https://t.co/dgqaL8Es7V,Joe Manchin
51,1.0,"You can’t just pretend to be #maga when you’re up for re-election like Liberal Joe Manchin has done. Just look at his voting record... he’s always with Schumer when it actually matters like being against (tax cuts, Gorsuch etc). #WV needs a change. Elect @MorriseyWV https://t.co/TMq0v6u5P7",Joe Manchin
52,1.0,@Sen_JoeManchin https://t.co/PioVLfTBBS,Joe Manchin
53,1.0,@WVGirlOnFire @Sen_JoeManchin https://t.co/PioVLfTBBS,Joe Manchin
54,0.0,"What did Joe Manchin do when Obama &amp; Hillary were killing the coal industry in WV? 2 say he did nothing would be kind. Not only did he stand by &amp; do nothing, he stood with &amp; supported Obama &amp; Hillary while they tried their damndest 2 kill the coal industry.



#MorriseyForSenate https://t.co/PLAU4AkodG",Joe Manchin
55,0.0,"FACT: Joe Manchin stood with Hillary Clinton even after she pledged to ""put a lot of coal miners &amp; coal companies out of business"" #WVsen https://t.co/F7lsWfUvjA",Joe Manchin
56,1.0,"West Virginia, this is Joe Manchin at the State of the Union. He tried to stand right after @realDonaldTrump talked about all time low unemployment numbers, but got a look from Chuck Schumer &amp; he sat down like a well trained dog!

You can do much better vote @MorriseyWV #wv #wvpol https://t.co/5fFbSWmFdL",Joe Manchin
57,0.0,"millennials are all out here selling our ass on patreon for rent money because you old mofuckers destroyed the economy and then killed our one shot at escaping 19 times as much college debt as you ever had and everyone  is like ""why aren't they voting for Joe Manchin?""",Joe Manchin
58,1.0,"Manchin: ‘Anybody’ Could Have Requested a ‘Governor’s Helicopter’ With Opioid Settlement Money. 



But it wasn’t anyone was it Joe? 



West Virginia you can do better. Vote ⁦@MorriseyWV⁩ #WVsen #wv #WestVirgina   https://t.co/7DQS6fIi5F",Joe Manchin
59,1.0,"Mildly interesting red-state trend: Heidi Heitkamp and Claire McCaskill are losing steam down the stretch while Joe Manchin, Joe Donnelly, Phil Bredesen and Beto O’Rourke are either ahead or closing in. 🤔",Joe Manchin
60,1.0,"BOOM!! 



The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",Jon Tester
61,1.0,"Jon Tester says one thing to voters and does the EXACT OPPOSITE in Washington. Tester takes his orders form Pelosi &amp; Schumer. Tester wants to raise your taxes, take away your 2A, open your borders, and deliver MOB RULE. Retire Tester &amp; Elect America-First Patriot Matt Rosendale!",Jon Tester
62,1.0,"BREAKING: WOW The Border Patrol union That endorsed Trump in 2016 The National Border Patrol Council, Just endorsed 3 Senate Democrats Who Trump said Were weak on border security



 Claire McCaskill (D-Mo.), Jon Tester (D-Mont.) and Heidi Heitkamp (D-N.D.), 



THIS IS JUST AWESOME",Jon Tester
63,1.0,"MONTANA

U.S. Senate:

Jon Tester (D) 49%

Matt Rosendale (R) 39%

Rick Breckenridge (L) 2%

(U. of Montana Big Sky Poll, LV, 10/10-18/18)",Jon Tester
64,1.0,"""@realDonaldTrump …. bashed incumbent Democratic @jontester as someone who ‘will listen to whatever Cryin' Chuck tells him to do.’"" #mtpol #mtsen #DefeatTester https://t.co/XS4cbkEAVR",Jon Tester
65,1.0,"""‘I’ve never forgotten it,’ the president of @jontester blocking the nomination of former White House doctor Adm. Ronny Jackson to lead the Department of Veterans Affairs."" #mtpol #mtsen #DefeatTester https://t.co/8EvFdZ5ZL2",Jon Tester
66,0.0,"Democrat Jon Tester isn’t a Trump ally. Just look at his votes on @realDonaldTrump’s nominees:

❌Gorsuch

❌Sec of State – twice

❌CIA Director – twice

❌Sec of Defense (waiver)

❌Treasury Sec

❌Kavanaugh

 

Tester has to go. Vote @MattForMontana! #MTSen

https://t.co/uzWsuLg5I8",Jon Tester
67,0.0,"They may not be able to vote, but #TotsforTester are getting the word out about Jon Tester. After all, this election will affect their generation. #mtpol #mtsen #letsvoteMT https://t.co/1PyOd6baKC",Jon Tester
68,1.0,"Protect SS, Medicare and Medicaid get out and vote BLUE! 

Re-elect Blue Senators: Heide Heitkamp for North Dakota, 

Claire McCaskill for Missouri, Joe Donnelly for Indiana, Jon Tester for Montana,

Bob Menendez for New Jersey, Tammy Baldwin for Wisconsin,

Sherrod Brown of Ohio! https://t.co/2TQotnHnWx",Jon Tester
69,0.0,"@frankthorp Trump is in Bozeman, because senator Jon Tester pissed him off. Bozeman is a liberal city, in a red state, highly educated, we care about people of all color, religious background and see a trend in our state turning blue.  Don't write us off, we need more progressive visitors!",Jon Tester
70,0.0,"Josh Hawley supports right-to-work(-for-less) in MO, opposes raising the minimum wage, and is currently suing to gut healthcare coverage for nearly 2.5 million Missourians with pre-existing conditions. He's wrong for MO. #MOSen",Josh Hawley
71,0.0,"Josh Hawley says only Democrats are fomenting violence, singling Hillary Clinton and Eric Holder out for blame while making no mention of the fact that they both had bombs sent to them, @MelindaKCMO writes. https://t.co/PZ2Q13tFBF",Josh Hawley
72,1.0,"Claire McCaskill / Josh Hawley Final Debate - Sparks Fly - Don’t Get Sidetracked by False Flags



“will you, Senator McCaskill, vote for an all-out ban like you said in last week's Project Veritas video?



#VoteRedToSaveAmerica 



https://t.co/jwnStFepRX",Josh Hawley
73,1.0,"In Claire McCaskill's America, our enemies are appeased, good people are smeared, and Hollywood values are celebrated. That's not the America we see. Vote Josh Hawley on November 6th! #MOSen #MOPol #ByeByeClaire",Josh Hawley
74,1.0,Josh Hawley thinks he can send us back to the bad old days with his lawsuit. @ClaireCMC knows better. #MOSen https://t.co/VaXBd6jozx,Josh Hawley
75,0.0,Josh Hawley is doing everything in his power to eliminate healthcare protections for people with pre-existing conditions. @ClaireCMC is doing everything in her power to stop him. #MOSen https://t.co/wkbFDE7BaR,Josh Hawley
76,0.0,"In the MO Senate debate, Josh Hawley bemoaned the closing of a small manufacturer in our hometown. The plant has not closed or laid off workers &amp; received a $1.6MM grant from MO EDC for improvements in July of2017. But please know, his small rural home is very important to him.",Josh Hawley
77,0.0,"#MISSOURI #CONSERVATIVES #WALKAWAY



This week Claire McCaskill tried representing herself as a Centrist &amp; distance herself from Pelosi/Schumer.



LIES!  She is the Radical Left &amp; has a worse conservative record than PELOSI!



Vote JOSH HAWLEY FOR SENATE 

#VoteRed #VoteDemsOut https://t.co/b5S7nS3abY",Josh Hawley
78,1.0,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",Josh Hawley
79,1.0,"Missouri, vote for Josh Hawley!

Indiana, vote for Mike Braun!

New Jersey, vote for Bob Hugin!

Georgia, vote for Brian Kemp!

Florida, vote for Rick Scott and Ron DeSantis! 

New Hampshire, vote with Eddie Edwards! 

Michigan ,vote for John James! 

Arizona, vote for Martha McSally! https://t.co/XAjXtSySWX",Josh Hawley
80,1.0,"Para crear empleos que proporcionen un salario digno para los habitantes de AZ, #KrystenSinema trabajará para aprobar legislación para construir nueva infraestructura y ayudar negocios a contratar más trabajadores. 



#AZSen #TeamSinema 

#FlipTheSenate 

 https://t.co/yzhRIvn8BD",Kyrsten Sinema
81,1.0,"""People want elected officials who are willing to work together to solve problems, not politicians who play partisan games [...] The good news is that all across the country women are stepping up, running for office, and getting involved."" — @kyrstensinema https://t.co/rWsARvhBac",Kyrsten Sinema
82,1.0,"In Feb 2017, more than 150 members of Congress signed a bipartisan letter demanding a federal response to bomb threats against Jewish Community Centers. 



Kyrsten Sinema signed.



Martha McSally did not.



https://t.co/SO8ssqZgs9",Kyrsten Sinema
83,1.0,"Democrats who will move this country forward:



Stacey Abrams - GA

Andrew Gillum - FL

Kyrsten Sinema -AZ

Beto O’Rourke -TX

Sharice Davids - KS

Randy Bryce - WI

Mike Levin - CA

Deb Haaland - NM



What other Dems are YOU voting for?



#VoteBlueToSaveAmerica #GOTV",Kyrsten Sinema
84,1.0,Here ya go: Kyrsten Sinema just wrapped up running a half marathon in Phoenix. She beat her personal half marathon record by 12 minutes — with a time of 1:43. #AZSEN,Kyrsten Sinema
85,0.0,"THE DEFLECTION: Some made-up rumor about Joe Donnelly &amp; Facebook ads.



THE ACTUAL NEWS: Arizona GOP was caught paying for promotional third party mailers that falsely tied the Green Party candidate to Bernie Sanders in an attempt to siphon votes away from Democrat Kyrsten Sinema. https://t.co/t9vbL3j1gH",Kyrsten Sinema
86,1.0,@joncoopertweets @Nevada_Dem @kyrstensinema I Voted ALL Blue!I know all of this and I Voted for Kyrsten Sinema and ALL BLUE in Early Voting!👍🌊💙😃 https://t.co/d2spmmZnih,Kyrsten Sinema
87,1.0,The Arizona GOP is sending mailers to Democratic voters tying the Green Party nominee in the state’s crucial Senate race to Sen. Bernie Sanders in what appears to be an attempt to persuade liberals to support her over Democratic Rep. Kyrsten Sinema. https://t.co/ra0Usrf0bO,Kyrsten Sinema
88,1.0,"#ARIZONA #CONSERVATIVES



You can put lipstick on a pig,  but it’s still a pig. Don’t be fooled by a pretty face. Kyrsten Sinema is anything but pretty inside.  She is a leftwing Radical Communist that will destroy #AZ



VOTE MARTHA MCSALLY FOR SENATE...a proven leader  w/integrity https://t.co/Kk503w914U",Kyrsten Sinema
89,1.0,"@danpfeiffer @leahmcelrath Yes she did. If you live in Arizona and want preexisting conditions saved in the ACA, vote for Kyrsten Sinema.

#VoteBlueToSaveAmerica  #VoteBlue",Kyrsten Sinema
90,1.0,UN-FREAKING-BELIEVABLE: Protesters heckle Marsha Blackburn during moment of silence for Tree of Life victims -- Corrected https://t.co/bEqoPR4UdS,Marsha Blackburn
91,0.0,"This is BEYOND disgusting, radical leftist heckles Marsha Blackburn DURING a moment of silence for victims of #PittsburghSynagogue shooting...

#WalkAway https://t.co/w90AU91M02",Marsha Blackburn
92,1.0,@elynnhardi1 @BearmanShannon @LauraGreenImp @Sedibus_MCML Phil bredesen was a great mayor and an excellent governor for the state of Tennessee. He has ethics and integrity which is hard to find these days in any politician. You won't find these qualities in Marsha Blackburn. She's definitely got Trump in her,Marsha Blackburn
93,1.0,@VoteMarsha Marsha Blackburn voted to kill Social Security and Medicare as we know it. She could care less about her constituents. Blackburn is a hard core liar. https://t.co/lezNmT5nqj,Marsha Blackburn
94,0.0,Protesters dragged from Marsha Blackburn election rally in Nashville https://t.co/13gIX8otK6 via @thinkprogress,Marsha Blackburn
95,1.0,"Democrat trash....



UN-FREAKING-BELIEVABLE: Protesters heckle Marsha Blackburn during moment of silence for Tree of Life victims https://t.co/68bI1H8d4x via @twitchyteam",Marsha Blackburn
96,1.0,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",Marsha Blackburn
97,1.0,.@realDonaldTrump Vice President Pence and Marsha Blackburn are en route to McKenzie Arena for President Trump's rally. https://t.co/dx725ZH9Ub,Marsha Blackburn
98,0.0,Marsha Blackburn tells voters she's fighting opioids. Her track record doesn't agree. https://t.co/vE5ID1NQYm https://t.co/gqWKwLefFh,Marsha Blackburn
99,0.0,"Good thing there's no need for Corker to grow a set since he declined to say whether or not he voted for Marsha Blackburn



Are you packing up your office yet, Bob? I suggest using the cardboard boxes from your Sam's Club soy milk supply



Pack it up, Bob!  https://t.co/grJ1qaLhAn",Marsha Blackburn
100,1.0,"🔺🔺🔺ARIZONA 🔺🔺🔺



Martha McSally for US Senate



#Endorsed by President Trump!



Vote November 6th, Avoid Long lines vote Now! 



#VoteMcSally

#Arizona

#ROHLL5♛ https://t.co/2hMBDvoOuA",Martha McSally
101,1.0,"If you live in Arizona please vote for true American hero Martha McSally.



The feminist snowflake running against her is a zero. 



♦️Vote Straight Republican

#AZSen #VoteRED #KAG https://t.co/x59weiFd8F",Martha McSally
102,1.0,"Martha McSally is a great warrior, her opponent a Nancy Pelosi Wacko! https://t.co/QEUdPWDDud",Martha McSally
103,1.0,"Today, you can make a huge difference with just 2 clicks of a button!



1) Follow @kyrstensinema 

2) RT to get the word out



#TeamSinema needs our help to #FlipTheSenate‼️



Wondering about Kyrsten’s opponent?

Check out this by my friend @CaptainsLogAz 👀⤵️



https://t.co/YfLsIa5Yve",Martha McSally
104,1.0,"In Feb 2017, more than 150 members of Congress signed a bipartisan letter demanding a federal response to bomb threats against Jewish Community Centers. 



Kyrsten Sinema signed.



Martha McSally did not.



https://t.co/SO8ssqZgs9",Martha McSally
105,0.0,"☀️🌵#Arizona #AZ🌵☀️



.. that time  #Trump #Republican @MarthaMcSally  snubbed #JohnMcCain for her own gain? 

On his OWN BILL??



#RememberinNovember 



@kyrstensinema will work for YOU, not party politics 



Elect #Democrats &amp; #FlipTheSenate



#BlueGov



https://t.co/kh3HGECDb2",Martha McSally
106,1.0,"Arizonans: When you vote on Tuesday, please remember that Martha “Let’s Fucking Do This” McSally voted to repeal the ACA and tried to eliminate #PreExistingConditions protections. 



Vote for @kyrstensinema — she’ll protect your health care!



#MarthaLetsFuckingDoThisMcSally",Martha McSally
107,0.0,"Martha McSally: ""We cannot go back to where we were before Obamacare.""



also Martha McSally: ""Let's get this F***ing thing done!"" (the f***ing thing being Obamacare repeal) https://t.co/E6NA3xklDy",Martha McSally
108,1.0,Martha McSally yelled “Let’s Fucking Do This” on her way to enthusiastically vote to repeal the ACA https://t.co/Ucf7iujsZO,Martha McSally
109,1.0,@MaddowBlog Martha McSally: “Who are you gonna believe? Me or your own eyes?”,Martha McSally
110,1.0,"@MattForMontana @DonaldJTrumpJr @jontester Matt Rosendale refuses to tell the people of Montana how dedicated he is to repeal the ACA and the protection against preexisting conditions. Matt Rosendale will also help 🇷🇺🐘@senatemajldr to cut Social Security &amp; Medicare. Matt, you will vote to put Mitch as leader right?👇🤔 https://t.co/bspMPG2BW2",Matt Rosendale
111,0.0,"With Montana’s 2018 campaign season into its final month, Sen. Jon Tester and Rep. Greg Gianforte, have charted clear fundraising advantages over their respective challengers, Matt Rosendale and  Kathleen Williams. https://t.co/vH7gtrSJkh #mtnews #mtpol https://t.co/BxZR4d5LgB",Matt Rosendale
112,1.0,"Jon Tester says one thing to voters and does the EXACT OPPOSITE in Washington. Tester takes his orders form Pelosi &amp; Schumer. Tester wants to raise your taxes, take away your 2A, open your borders, and deliver MOB RULE. Retire Tester &amp; Elect America-First Patriot Matt Rosendale!",Matt Rosendale
113,1.0,"I'd like to thank #MTSen GOPer Matt Rosendale for saying that he doesn't support protections for pre-existing conditions.

I applaud both his honesty for saying what he believes and his stupidity for saying it out loud.

Re-elect @jontester.
#FlipTheSenate
https://t.co/LIgzBbQKIp",Matt Rosendale
114,1.0,"It’s simple: @MattRosendale has made it clear he won’t protect the 152,000 Montanans who have pre-existing conditions. #mtpol #mtsen

https://t.co/56Q4iwCaqY",Matt Rosendale
115,1.0,"“It’s big, I mean, it’s really big” Rosendale said of the impact the Kavanaugh confirmation had on his race. Rep. Matt Rosendale is running against Dem. Sen. Jon Tester in #Montana. Both camps expect a photo finish. #VoteRedToSaveAmerica #MidtermElections

https://t.co/Ahppifn7na",Matt Rosendale
116,1.0,"Awesome time in Montana with @drrandpaul stumping for Matt Rosendale @MattForMontana! It’s time to shrink government, put America first and stop the endless spending! Montana needs to send Rosendale to the US Senate and put Tester into retirement! #mt #montana #mtsen https://t.co/FXnpxBsQnA",Matt Rosendale
117,1.0,"Jon Tester says one thing to voters and does the EXACT OPPOSITE in Washington. Tester takes his orders form Pelosi &amp; Schumer. Tester wants to raise your taxes, take away your 2A, open your borders, and deliver MOB RULE. Retire Tester &amp; Elect America-First Patriot Matt Rosendale!",Matt Rosendale
118,1.0,"MONTANA

U.S. Senate:

Jon Tester (D) 49%

Matt Rosendale (R) 39%

Rick Breckenridge (L) 2%

(U. of Montana Big Sky Poll, LV, 10/10-18/18)",Matt Rosendale
119,1.0,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",Matt Rosendale
